1) a = 0.1 | b = 0.1 | c = 0
1183) a = 8.6 | b = 4.3 | c = 0

1184) a = 8.6 | b = 8.6 | c = 0

1185) a = 8.7 | b = 8.7 | c = 0

1186) a = 8.8 | b = 4.4 | c = 0

1187) a = 8.8 | b = 8.8 | c = 0

1188) a = 8.9 | b = 8.9 | c = 0

1189) a = 9 | b = 0.9 | c = 0

1190) a = 9 | b = 1.8 | c = 0

1191) a = 9 | b = 3.6 | c = 0

1192) a = 9 | b = 4.5 | c = 0

1193) a = 9 | b = 6.3 | c = 0

1194) a = 9 | b = 7.2 | c = 0

1195) a = 9 | b = 9 | c = 0

