1) d = 0.0 | x1 = 0 | x2 = -1.0
978) d = 36 | x1 = 0 | x2 = -1.5

979) d = 4 | x1 = -0.5 | x2 = -1.0

980) d = 41.0 | x1 = 0 | x2 = -1.6

981) d = 46.2 | x1 = 0 | x2 = -1.7

982) d = 51.8 | x1 = 0 | x2 = -1.8

983) d = 10.2 | x1 = -0.5 | x2 = -1.3

984) d = 57.8 | x1 = 0 | x2 = -1.9

985) d = 64 | x1 = 0 | x2 = -2.0

986) d = 16 | x1 = -0.5 | x2 = -1.5

987) d = 70.6 | x1 = 0 | x2 = -2.1

988) d = 19.4 | x1 = -0.5 | x2 = -1.6

989) d = 77.4 | x1 = 0 | x2 = -2.2

990) d = 16.8 | x1 = 0 | x2 = -1.0

991) d = 67.2 | x1 = 0 | x2 = -2.0

992) d = 4.4 | x1 = 0 | x2 = -0.5

993) d = 17.6 | x1 = 0 | x2 = -1.0

994) d = 39.7 | x1 = 0 | x2 = -1.5

995) d = 70.6 | x1 = 0 | x2 = -2.0

996) d = 18.5 | x1 = 0 | x2 = -1.0

997) d = 74.0 | x1 = 0 | x2 = -2.0

998) d = 4.8 | x1 = 0 | x2 = -0.5

999) d = 19.4 | x1 = 0 | x2 = -1.0

1000) d = 77.4 | x1 = 0 | x2 = -2.0

1001) d = 0.8 | x1 = 0 | x2 = -0.2

1002) d = 3.2 | x1 = 0 | x2 = -0.4

1003) d = 13.0 | x1 = 0 | x2 = -0.8

1004) d = 20.2 | x1 = 0 | x2 = -1.0

1005) d = 39.7 | x1 = 0 | x2 = -1.4

1006) d = 51.8 | x1 = 0 | x2 = -1.6

1007) d = 81.0 | x1 = 0 | x2 = -2.0

1008) d = 5.3 | x1 = 0 | x2 = -0.5

1009) d = 21.2 | x1 = 0 | x2 = -1.0

1010) d = 22.1 | x1 = 0 | x2 = -1.0

1011) d = 5.8 | x1 = 0 | x2 = -0.5

1012) d = 23.0 | x1 = 0 | x2 = -1.0

1013) d = 51.8 | x1 = 0 | x2 = -1.5

1014) d = 24.0 | x1 = 0 | x2 = -1.0

1015) d = 0.2 | x1 = 0 | x2 = -0.1

1016) d = 1 | x1 = 0 | x2 = -0.2

1017) d = 2.2 | x1 = 0 | x2 = -0.3

1018) d = 0.2 | x1 = -0.1 | x2 = -0.2

1019) d = 4 | x1 = 0 | x2 = -0.4

1020) d = 6.2 | x1 = 0 | x2 = -0.5

1021) d = 2.2 | x1 = -0.1 | x2 = -0.4

1022) d = 0.2 | x1 = -0.2 | x2 = -0.3

1023) d = 9 | x1 = 0 | x2 = -0.6

1024) d = 1.0 | x1 = -0.2 | x2 = -0.4

1025) d = 12.2 | x1 = 0 | x2 = -0.7

1026) d = 6.2 | x1 = -0.1 | x2 = -0.6

1027) d = 2.2 | x1 = -0.2 | x2 = -0.5

1028) d = 0.2 | x1 = -0.3 | x2 = -0.4

1029) d = 16 | x1 = 0 | x2 = -0.8

1030) d = 4.0 | x1 = -0.2 | x2 = -0.6

1031) d = 20.2 | x1 = 0 | x2 = -0.9

1032) d = 12.2 | x1 = -0.1 | x2 = -0.8

1033) d = 6.2 | x1 = -0.2 | x2 = -0.7

1034) d = 2.2 | x1 = -0.3 | x2 = -0.6

1035) d = 0.2 | x1 = -0.4 | x2 = -0.5

1036) d = 25 | x1 = 0 | x2 = -1.0

1037) d = 9.0 | x1 = -0.2 | x2 = -0.8

1038) d = 1.0 | x1 = -0.4 | x2 = -0.6

1039) d = 30.2 | x1 = 0 | x2 = -1.1

1040) d = 20.2 | x1 = -0.1 | x2 = -1.0

1041) d = 12.2 | x1 = -0.2 | x2 = -0.9

1042) d = 6.2 | x1 = -0.3 | x2 = -0.8

1043) d = 2.2 | x1 = -0.4 | x2 = -0.7

1044) d = 0.2 | x1 = -0.5 | x2 = -0.6

1045) d = 36 | x1 = 0 | x2 = -1.2

1046) d = 16 | x1 = -0.2 | x2 = -1.0

1047) d = 4.0 | x1 = -0.4 | x2 = -0.8

1048) d = 42.2 | x1 = 0 | x2 = -1.3

1049) d = 30.2 | x1 = -0.1 | x2 = -1.2

1050) d = 20.2 | x1 = -0.2 | x2 = -1.1

1051) d = 12.2 | x1 = -0.3 | x2 = -1.0

1052) d = 6.2 | x1 = -0.4 | x2 = -0.9

1053) d = 2.2 | x1 = -0.5 | x2 = -0.8

1054) d = 0.2 | x1 = -0.6 | x2 = -0.7

1055) d = 49 | x1 = 0 | x2 = -1.4

1056) d = 25.0 | x1 = -0.2 | x2 = -1.2

1057) d = 9 | x1 = -0.4 | x2 = -1.0

1058) d = 1.0 | x1 = -0.6 | x2 = -0.8

1059) d = 56.2 | x1 = 0 | x2 = -1.5

1060) d = 42.2 | x1 = -0.1 | x2 = -1.4

1061) d = 30.2 | x1 = -0.2 | x2 = -1.3

1062) d = 20.2 | x1 = -0.3 | x2 = -1.2

1063) d = 12.2 | x1 = -0.4 | x2 = -1.1

1064) d = 6.2 | x1 = -0.5 | x2 = -1.0

1065) d = 2.2 | x1 = -0.6 | x2 = -0.9

1066) d = 0.2 | x1 = -0.7 | x2 = -0.8

1067) d = 64 | x1 = 0 | x2 = -1.6

1068) d = 36.0 | x1 = -0.2 | x2 = -1.4

1069) d = 16.0 | x1 = -0.4 | x2 = -1.2

1070) d = 4 | x1 = -0.6 | x2 = -1.0

1071) d = 72.2 | x1 = 0 | x2 = -1.7

1072) d = 56.2 | x1 = -0.1 | x2 = -1.6

1073) d = 42.2 | x1 = -0.2 | x2 = -1.5

1074) d = 30.2 | x1 = -0.3 | x2 = -1.4

1075) d = 20.2 | x1 = -0.4 | x2 = -1.3

1076) d = 12.2 | x1 = -0.5 | x2 = -1.2

1077) d = 6.2 | x1 = -0.6 | x2 = -1.1

1078) d = 2.2 | x1 = -0.7 | x2 = -1.0

1079) d = 0.2 | x1 = -0.8 | x2 = -0.9

1080) d = 81 | x1 = 0 | x2 = -1.8

1081) d = 49.0 | x1 = -0.2 | x2 = -1.6

1082) d = 25.0 | x1 = -0.4 | x2 = -1.4

1083) d = 9.0 | x1 = -0.6 | x2 = -1.2

1084) d = 1 | x1 = -0.8 | x2 = -1.0

1085) d = 26.0 | x1 = 0 | x2 = -1.0

1086) d = 6.8 | x1 = 0 | x2 = -0.5

1087) d = 27.0 | x1 = 0 | x2 = -1.0

1088) d = 60.8 | x1 = 0 | x2 = -1.5

1089) d = 28.1 | x1 = 0 | x2 = -1.0

1090) d = 7.3 | x1 = 0 | x2 = -0.5

1091) d = 29.2 | x1 = 0 | x2 = -1.0

1092) d = 1.2 | x1 = 0 | x2 = -0.2

1093) d = 4.8 | x1 = 0 | x2 = -0.4

1094) d = 10.9 | x1 = 0 | x2 = -0.6

1095) d = 19.4 | x1 = 0 | x2 = -0.8

1096) d = 30.2 | x1 = 0 | x2 = -1.0

1097) d = 43.6 | x1 = 0 | x2 = -1.2

1098) d = 77.4 | x1 = 0 | x2 = -1.6

1099) d = 7.8 | x1 = 0 | x2 = -0.5

1100) d = 31.4 | x1 = 0 | x2 = -1.0

1101) d = 32.5 | x1 = 0 | x2 = -1.0

1102) d = 8.4 | x1 = 0 | x2 = -0.5

1103) d = 33.6 | x1 = 0 | x2 = -1.0

1104) d = 75.7 | x1 = 0 | x2 = -1.5

1105) d = 34.8 | x1 = 0 | x2 = -1.0

1106) d = 3.2 | x1 = 0 | x2 = -0.3

1107) d = 9 | x1 = 0 | x2 = -0.5

1108) d = 13.0 | x1 = 0 | x2 = -0.6

1109) d = 29.2 | x1 = 0 | x2 = -0.9

1110) d = 36 | x1 = 0 | x2 = -1.0

1111) d = 51.8 | x1 = 0 | x2 = -1.2

1112) d = 60.8 | x1 = 0 | x2 = -1.3

1113) d = 81 | x1 = 0 | x2 = -1.5

1114) d = 9 | x1 = -0.5 | x2 = -1.0

1115) d = 37.2 | x1 = 0 | x2 = -1.0

1116) d = 9.6 | x1 = 0 | x2 = -0.5

1117) d = 38.4 | x1 = 0 | x2 = -1.0

1118) d = 39.7 | x1 = 0 | x2 = -1.0

1119) d = 10.2 | x1 = 0 | x2 = -0.5

1120) d = 41.0 | x1 = 0 | x2 = -1.0

1121) d = 1.7 | x1 = 0 | x2 = -0.2

1122) d = 6.8 | x1 = 0 | x2 = -0.4

1123) d = 15.2 | x1 = 0 | x2 = -0.6

1124) d = 27.0 | x1 = 0 | x2 = -0.8

1125) d = 42.2 | x1 = 0 | x2 = -1.0

1126) d = 60.8 | x1 = 0 | x2 = -1.2

1127) d = 10.9 | x1 = 0 | x2 = -0.5

1128) d = 43.6 | x1 = 0 | x2 = -1.0

1129) d = 44.9 | x1 = 0 | x2 = -1.0

1130) d = 11.6 | x1 = 0 | x2 = -0.5

1131) d = 46.2 | x1 = 0 | x2 = -1.0

1132) d = 47.6 | x1 = 0 | x2 = -1.0

1133) d = 4.4 | x1 = 0 | x2 = -0.3

1134) d = 12.2 | x1 = 0 | x2 = -0.5

1135) d = 17.6 | x1 = 0 | x2 = -0.6

1136) d = 39.7 | x1 = 0 | x2 = -0.9

1137) d = 49 | x1 = 0 | x2 = -1.0

1138) d = 59.3 | x1 = 0 | x2 = -1.1

1139) d = 70.6 | x1 = 0 | x2 = -1.2

1140) d = 50.4 | x1 = 0 | x2 = -1.0

1141) d = 13.0 | x1 = 0 | x2 = -0.5

1142) d = 51.8 | x1 = 0 | x2 = -1.0

1143) d = 53.3 | x1 = 0 | x2 = -1.0

1144) d = 13.7 | x1 = 0 | x2 = -0.5

1145) d = 54.8 | x1 = 0 | x2 = -1.0

1146) d = 2.2 | x1 = 0 | x2 = -0.2

1147) d = 9.0 | x1 = 0 | x2 = -0.4

1148) d = 20.2 | x1 = 0 | x2 = -0.6

1149) d = 2.2 | x1 = -0.2 | x2 = -0.4

1150) d = 36.0 | x1 = 0 | x2 = -0.8

1151) d = 9.0 | x1 = -0.2 | x2 = -0.6

1152) d = 56.2 | x1 = 0 | x2 = -1.0

1153) d = 20.2 | x1 = -0.2 | x2 = -0.8

1154) d = 2.2 | x1 = -0.4 | x2 = -0.6

1155) d = 81.0 | x1 = 0 | x2 = -1.2

1156) d = 36.0 | x1 = -0.2 | x2 = -1.0

1157) d = 9.0 | x1 = -0.4 | x2 = -0.8

1158) d = 14.4 | x1 = 0 | x2 = -0.5

1159) d = 57.8 | x1 = 0 | x2 = -1.0

1160) d = 59.3 | x1 = 0 | x2 = -1.0

1161) d = 15.2 | x1 = 0 | x2 = -0.5

1162) d = 60.8 | x1 = 0 | x2 = -1.0

1163) d = 62.4 | x1 = 0 | x2 = -1.0

1164) d = 0.6 | x1 = 0 | x2 = -0.1

1165) d = 2.6 | x1 = 0 | x2 = -0.2

1166) d = 5.8 | x1 = 0 | x2 = -0.3

1167) d = 10.2 | x1 = 0 | x2 = -0.4

1168) d = 16 | x1 = 0 | x2 = -0.5

1169) d = 23.0 | x1 = 0 | x2 = -0.6

1170) d = 31.4 | x1 = 0 | x2 = -0.7

1171) d = 41.0 | x1 = 0 | x2 = -0.8

1172) d = 51.8 | x1 = 0 | x2 = -0.9

1173) d = 64 | x1 = 0 | x2 = -1.0

1174) d = 77.4 | x1 = 0 | x2 = -1.1

1175) d = 65.6 | x1 = 0 | x2 = -1.0

1176) d = 16.8 | x1 = 0 | x2 = -0.5

1177) d = 67.2 | x1 = 0 | x2 = -1.0

1178) d = 68.9 | x1 = 0 | x2 = -1.0

1179) d = 17.6 | x1 = 0 | x2 = -0.5

1180) d = 70.6 | x1 = 0 | x2 = -1.0

1181) d = 26.0 | x1 = 0 | x2 = -0.6

1182) d = 72.2 | x1 = 0 | x2 = -1.0

1183) d = 18.5 | x1 = 0 | x2 = -0.5

1184) d = 74.0 | x1 = 0 | x2 = -1.0

1185) d = 75.7 | x1 = 0 | x2 = -1.0

1186) d = 19.4 | x1 = 0 | x2 = -0.5

1187) d = 77.4 | x1 = 0 | x2 = -1.0

1188) d = 79.2 | x1 = 0 | x2 = -1.0

1189) d = 0.8 | x1 = 0 | x2 = -0.1

1190) d = 3.2 | x1 = 0 | x2 = -0.2

1191) d = 13.0 | x1 = 0 | x2 = -0.4

1192) d = 20.2 | x1 = 0 | x2 = -0.5

1193) d = 39.7 | x1 = 0 | x2 = -0.7

1194) d = 51.8 | x1 = 0 | x2 = -0.8

1195) d = 81 | x1 = 0 | x2 = -1.0

